,alpha,Mkt-RF,SMB,HML,RMW,CMA,Mom,alpha_ann
2024-03-31,-0.005289849833138094,1.5739652558499029,0.6740706906285789,-0.13389234408647627,-1.4486246238768479,-0.9241180523032868,-0.3497726028705338,-0.06347819799765714
2024-04-30,-0.0057439331274362435,1.6119262335722881,0.6673558549519506,-0.10148443833082543,-1.4253052535444908,-0.9799597053043266,-0.3172926497582239,-0.06892719752923493
2024-05-31,-0.006885900457010553,1.5873607394328684,0.5696951324608389,-0.13027132523930954,-1.5522707287439013,-0.8566743675519451,-0.3864967484064877,-0.08263080548412663
2024-06-30,-0.011777051112454149,1.5589427294886908,0.4396764473308885,0.21317214047131489,-1.4430594703649382,-1.2195754744965137,-0.4268924899368033,-0.1413246133494498
2024-07-31,-0.012453967055844596,1.5633549197446979,0.355577966251239,0.19867996848586827,-1.467670070796761,-1.1976605397906332,-0.44305681411189735,-0.14944760467013515
2024-08-31,-0.011199284872780706,1.5819810662039737,0.3378235947044722,0.20700862679633455,-1.4893673119717983,-1.2182851540849777,-0.4070660288820505,-0.13439141847336847
2024-09-30,-0.008555092133656971,1.5721717863632487,0.34107055505203665,0.17649362000929456,-1.5416833963333798,-1.1708201962657325,-0.41722963595030715,-0.10266110560388365
2024-10-31,-0.009373946055826534,1.5389976531835141,0.3727673073226492,0.13903314223856408,-1.5383191473568196,-1.1155059510973133,-0.45460946128842455,-0.11248735266991841
2024-11-30,-0.007466809929396865,1.6114370242689127,0.427642662456279,0.22112660765453157,-1.7715513818344935,-1.22846603309135,-0.3664437751035151,-0.08960171915276238
2024-12-31,-0.004945855241191012,1.5851998477362508,0.38597555541639017,0.17374172137484103,-1.7025650506417214,-1.1844675232467792,-0.4215730516687161,-0.05935026289429215
2025-01-31,-0.0045185991954169,1.5688229093705839,0.3228177500658164,0.22329578410813836,-1.7274140738224049,-1.1688085712209684,-0.4710451952032915,-0.05422319034500281
2025-02-28,-0.003381431596071391,1.5636268069249097,0.4272349452369372,0.14709469155335447,-1.7443442951534414,-1.094976787315066,-0.432802123121802,-0.04057717915285669
2025-03-31,0.0006074943770645695,1.630590480174612,0.466608385825599,-0.1149460678731948,-1.9021999987986138,-0.7113717580349378,-0.3970851111723229,0.0072899325247748345
2025-04-30,0.0015069941321427182,1.6296841110519933,0.4618286592894939,-0.12579316887203845,-1.9531272328444973,-0.7205595410517198,-0.3686535816903734,0.01808392958571262
2025-05-31,0.0031953362371195454,1.6696055832506735,0.5408445965615678,-0.3271889274842201,-1.9389580198247907,-0.5107697106847331,-0.34970658735115534,0.03834403484543454
2025-06-30,0.004585184954787869,1.772906932092341,0.33811752953345753,-0.33032291845435946,-2.2615627473129742,-0.26567166886365035,-0.46676170416079865,0.05502221945745443
2025-07-31,0.0050814793925136725,1.870257728247017,0.39733327626958526,-0.2956929999684347,-2.0960830247432365,-0.5902931691332484,-0.4525670767676846,0.06097775271016407
2025-08-31,0.00851154157633932,1.775375086684244,0.38298972178700263,-0.4348413092539435,-2.442999290321434,-0.37644348798188243,-0.40750610702718526,0.10213849891607182
2025-09-30,0.005984673773032641,1.8938181486751098,0.2966012362450852,-0.3713212100901534,-2.436508380625549,-0.45738730186529125,-0.3989066330362853,0.07181608527639169
2025-10-31,0.0021301493559295406,1.9322446351706066,0.49263843191908396,-0.4198747268369394,-1.9176781052603002,-0.33713930049162877,-0.35183827532487727,0.025561792271154488
2025-11-30,-0.00039182407874689684,1.8698027530961032,0.5087828108981076,-0.50993093006893,-2.1324764385651496,-0.3489729312802517,-0.3192596912584748,-0.004701888944962762
2025-12-31,-0.00032847693146103863,1.8605006276833373,0.534606201663577,-0.5395789853656269,-2.136037234677029,-0.3246022827353886,-0.30182393997987905,-0.003941723177532464
2026-01-31,0.0005805578400760381,1.862882904791698,0.5707181567897782,-0.55649794333717,-2.1124642010141694,-0.31859716332348575,-0.30960541048733586,0.006966694080912458
2026-02-28,0.0020574071218954024,1.8717198174419387,0.5689583927687583,-0.6057116980463936,-2.154392894417767,-0.052993472800989955,-0.28440002624804,0.02468888546274483
2026-03-31,0.0023592003518412685,1.8881016851831258,0.5503085802332958,-0.644561959801315,-2.1297009081794833,-0.03617452980195698,-0.3205219691888204,0.02831040422209522
2026-04-30,0.008082084705980411,1.7603172097240694,0.5091655655930621,-0.9358515006703567,-1.9770014328531895,0.37538780866385113,-0.6600292946605251,0.09698501647176494
2026-05-31,0.0023986936198898312,1.8144050762773638,0.6721070491840999,-0.7638761591997811,-1.3018776676750834,0.26264900873337677,-0.49615709016287995,0.028784323438677976
2026-06-30,0.0014902013041920618,1.9480370698074059,0.576697282977095,-0.7393220107618649,-1.1056823626358225,0.07675709767616416,-0.6381820088029617,0.01788241565030474
2026-07-31,-0.0016375604567845513,1.8548745948580094,0.6084964373561805,-0.7921571389980882,-1.2138122526047121,0.09856211737219991,-0.4743332745151983,-0.019650725481414617
