,BRK-B,ARKK,VTV,MTUM,QUAL,IWM,USMV,Project-1 multi-asset portfolio
2011-05-31,-0.050780350563796706,,-0.013698773596634517,,,-0.017942186108154123,,-0.0013320717799204518
2011-06-30,-0.021247000273932892,,-0.021217117904406058,,,-0.024045171392115483,,-0.015617656906879773
2011-07-31,-0.04160745892361195,,-0.03496844524652398,,,-0.034062080316124344,,0.012358147307527156
2011-08-31,-0.015874547631513646,,-0.05907579910437023,,,-0.08901312194215295,,-0.0061507417352055895
2011-09-30,-0.026849302527022667,,-0.06849510836901362,,,-0.11150333337046803,,-0.04548001581111116
2011-10-31,0.09600224671919388,,0.10265665016702052,,,0.15101058718669091,0.023659087394271028,0.07006933993262376
2011-11-30,0.01155922834348444,,-0.005589347291336755,,,-0.00378315026267817,0.0015407019282649426,-0.0045068751228439785
2011-12-31,-0.03123411652805197,,0.025363610319182994,,,0.005150707332625126,0.030731535811928,-0.0017465943862683408
2012-01-31,0.027129745898176072,,0.034673411111129315,,,0.07145703933779979,0.013099440791951356,0.04953082962365496
2012-02-29,0.0010207247525411134,,0.03885145368550291,,,0.0256899301201976,0.02105605679249689,0.019881536759874807
2012-03-31,0.03441688569367396,,0.028432190242666522,,,0.024847479804827488,0.025692779462245685,0.007570195587169426
2012-04-30,-0.008626057479660054,,-0.00918887720625916,,,-0.016182052614282627,0.013107054160863552,0.004638553189276751
2012-05-31,-0.013648743060759371,,-0.059242471943777866,,,-0.06589066095579212,-0.021778544869076277,-0.03768536541019986
2012-06-30,0.050025216610006806,,0.04774566354243892,,,0.05052049856233887,0.0363197685434804,0.029352135945572178
2012-07-31,0.018120658510212495,,0.011798910845910449,,,-0.015208513362730436,0.019350525728075718,0.014565497893046953
2012-08-31,-0.005993446741895625,,0.014740216984196353,,,0.035254292167260046,-0.0017946141047765595,0.019515694985789523
2012-09-30,0.04566714225700584,,0.028863997374460427,,,0.032509211003006064,0.0156948603598832,0.01512107098238057
2012-10-31,-0.021075040114873277,,-0.004016890264877626,,,-0.021792102637873245,-0.011200251018317797,-0.013576759090637613
2012-11-30,0.019934781557663362,,-0.007451717554211601,,,0.005412506099619063,0.0033017707127718124,0.008518878481768678
2012-12-31,0.018292314753748585,,0.021047776146374087,,,0.036088820364048355,-0.0086822635402224,0.0052862613092945375
2013-01-31,0.08060204685520089,,0.06360553439060745,,,0.06238111531094215,0.049931148628132416,0.017013427834558836
2013-02-28,0.05395649788989365,,0.013111577565530164,,,0.01004723006583541,0.02755001423046255,0.0009471290846747582
2013-03-31,0.019968610150798094,,0.040444182992141364,,,0.04659002943342205,0.04959884412874671,0.017647375841162605
2013-04-30,0.02034551639800064,,0.022127363010715273,0.018067472677578245,,-0.003494668564957837,0.027778257464252,0.018107088255264303
